user_id,vehicle_model_id,package_id,travel_type_id,from_area_id,to_area_id,from_city_id,to_city_id,from_date_date,to_date,online_booking,mobile_site_booking,booking_created_date,from_lat,from_long,to_lat,to_long,from_date_hour,booking_created_hour
22177,28,,2,83.0,448.0,,,0,,0,0,0,12.92415,77.67229,12.92732,77.63575,64,699
21413,12,,2,1010.0,540.0,,,0,,0,0,0,12.96691,77.74935,12.92768,77.62664000000001,92,985
22178,12,,2,1301.0,1034.0,,,0,,0,0,0,12.937222,77.626915,13.047926,77.59776600000001,70,1026
13034,12,,2,768.0,398.0,,,0,,0,0,0,12.989989999999999,77.55332,12.97143,77.63914,79,1105
22180,12,,2,1365.0,849.0,,,0,,0,0,0,12.845653,77.677925,12.95434,77.60072,92,1288
17712,12,,2,1021.0,1323.0,,,0,,0,0,0,13.02853,77.54625,12.869805,77.653211,58,1296
22172,12,,1,571.0,,15.0,108.0,0,41275.40625,0,0,0,12.95185,77.69641999999999,,,95,1376
22181,12,,2,1192.0,832.0,,,0,,0,0,0,12.97677,77.5727,12.880189999999999,77.64558000000001,8,1394
22182,65,2.0,3,448.0,,,,0,,0,0,0,12.92732,77.63575,,,28,1399
22184,12,,2,516.0,376.0,,,0,,0,0,0,13.0056,77.65799,12.90245,77.66081,8,1404
4941,12,,2,150.0,776.0,,,0,,0,0,0,12.89724,77.61065,13.015080000000001,77.67796,8,1410
17037,12,,2,455.0,1330.0,,,0,,0,0,0,12.999874,77.67811999999999,12.953434,77.70651,15,1414
22185,12,,2,1166.0,1328.0,,,0,,0,0,0,12.997198,77.669514,12.958808,77.649047,14,78
22186,12,,2,793.0,590.0,,,0,,0,0,0,13.02239,77.59492,13.00826,77.56433,15,137
16,28,,2,1063.0,58.0,,,0,,1,0,0,12.934477000000001,77.611284,12.88963,77.60119,24,168
15097,12,,2,1102.0,292.0,,,11,,0,0,0,12.93652,77.54481,12.93944,77.62923,64,172
761,12,,2,814.0,393.0,,,11,41277.0,1,0,0,12.908992999999999,77.6889,13.19956,77.70688,2,194
22189,24,,1,1383.0,,,32.0,3,41288.0,1,0,0,12.930451,77.685822,,,88,197
17226,12,,2,1353.0,585.0,,,0,,0,0,0,12.966545,77.711639,12.97677,77.5727,28,208
868,12,,2,297.0,212.0,,,0,,0,0,0,12.99789,77.61488,12.99474,77.60797,17,222
22190,87,2.0,3,471.0,,,,0,,0,0,0,13.01854,77.63524,,,22,232
16,28,,2,58.0,1063.0,,,0,,1,0,0,12.88963,77.60119,12.934477000000001,77.611284,38,280
21558,12,,2,540.0,409.0,,,0,,1,0,0,12.92768,77.62664000000001,13.07746,77.60668000000001,28,290
21995,12,1.0,3,1286.0,,,,0,,0,0,0,12.973448,77.62031999999999,,,30,339
22192,54,,1,515.0,,15.0,32.0,26,41279.0,0,0,0,12.97896,77.67345,,,90,340
22193,12,,2,142.0,393.0,,,0,,1,0,0,12.91281,77.60923000000001,13.19956,77.70688,32,356
20430,12,,2,393.0,61.0,,,11,,0,0,0,13.19956,77.70688,12.96298,77.71229,48,362
22194,12,,2,89.0,585.0,,,0,,0,0,0,12.96519,77.71932,12.97677,77.5727,50,367
21716,28,,2,1237.0,330.0,,,0,,0,0,0,12.92645,77.61206,12.858833,77.589127,30,367
38966,12,,2,61.0,393.0,,,0,,0,0,0,12.96298,77.71229,13.19956,77.70688,36,371
12973,12,,2,137.0,1068.0,,,11,,0,0,0,12.81575,77.68465,13.044008999999999,77.60680500000001,84,399
